,Data,Settimana,CASSA,Numero,Importo,Pagamento
20620,2021-07-17 09:08:12,Sabato,2,1,7.88,Contanti
20621,2021-07-17 09:12:29,Sabato,2,2,8.01,Contanti
20622,2021-07-17 09:19:15,Sabato,2,3,19.57,Contanti
20623,2021-07-17 09:25:04,Sabato,2,4,61.44,Bancomat
20624,2021-07-17 09:26:33,Sabato,2,5,32.53,Bancomat
20625,2021-07-17 09:41:00,Sabato,2,6,15.95,Contanti
20626,2021-07-17 09:47:40,Sabato,2,7,1.0,Contanti
20627,2021-07-17 09:50:23,Sabato,2,8,10.9,Contanti
20628,2021-07-17 09:59:42,Sabato,2,9,16.99,Bancomat
20629,2021-07-17 10:13:53,Sabato,2,10,13.9,Contanti
20630,2021-07-17 10:16:44,Sabato,2,11,19.78,Bancomat
20631,2021-07-17 10:17:14,Sabato,2,12,0.0,Contanti
20632,2021-07-17 10:20:53,Sabato,2,13,38.59,Bancomat
20633,2021-07-17 10:21:08,Sabato,2,14,4.99,Contanti
20634,2021-07-17 10:22:25,Sabato,2,15,6.28,Contanti
20635,2021-07-17 10:24:00,Sabato,2,16,1.0,Contanti
20636,2021-07-17 10:26:01,Sabato,2,17,6.54,Contanti
20637,2021-07-17 10:34:16,Sabato,2,18,10.05,Bancomat
20638,2021-07-17 10:34:56,Sabato,2,19,19.98,Bancomat
20639,2021-07-17 10:35:57,Sabato,2,20,16.65,Contanti
20640,2021-07-17 10:36:15,Sabato,2,21,1.49,Contanti
20641,2021-07-17 10:37:24,Sabato,2,22,3.68,Contanti
20642,2021-07-17 10:38:04,Sabato,2,23,53.29,Bancomat
20643,2021-07-17 10:39:52,Sabato,2,24,18.0,Bancomat
20644,2021-07-17 10:43:42,Sabato,2,25,34.28,Bancomat
20645,2021-07-17 10:45:28,Sabato,2,26,8.99,Bancomat
20646,2021-07-17 10:48:56,Sabato,2,27,25.99,Contanti
20647,2021-07-17 10:51:38,Sabato,2,28,36.35,Contanti
20648,2021-07-17 10:52:55,Sabato,2,29,23.15,Contanti
20649,2021-07-17 10:53:30,Sabato,2,30,3.98,Contanti
20650,2021-07-17 11:00:26,Sabato,2,31,14.95,Contanti
20651,2021-07-17 11:01:38,Sabato,2,32,2.98,Contanti
20652,2021-07-17 11:04:35,Sabato,2,33,52.84,Bancomat
20653,2021-07-17 11:11:53,Sabato,2,34,42.04,Bancomat
20654,2021-07-17 11:14:28,Sabato,2,35,6.02,Contanti
20655,2021-07-17 11:19:15,Sabato,2,36,6.45,Contanti
20656,2021-07-17 11:19:38,Sabato,2,37,1.29,Contanti
20657,2021-07-17 11:22:01,Sabato,2,38,26.52,Bancomat
20658,2021-07-17 11:23:13,Sabato,2,39,60.75,Contanti
20659,2021-07-17 11:25:45,Sabato,2,40,18.85,Contanti
20660,2021-07-17 11:26:18,Sabato,2,41,11.98,Bancomat
20661,2021-07-17 11:26:42,Sabato,2,42,4.49,Contanti
20662,2021-07-17 11:28:04,Sabato,2,43,22.98,Bancomat
20663,2021-07-17 11:31:04,Sabato,2,44,0.24,Contanti
20664,2021-07-17 11:34:40,Sabato,2,45,27.22,Bancomat
20665,2021-07-17 11:35:54,Sabato,2,46,22.3,Contanti
20666,2021-07-17 11:37:34,Sabato,2,47,12.0,Bancomat
20667,2021-07-17 11:39:33,Sabato,2,48,14.08,Bancomat
20668,2021-07-17 11:41:09,Sabato,2,49,8.24,Contanti
20669,2021-07-17 11:43:52,Sabato,2,50,66.8,Bancomat
20670,2021-07-17 11:44:09,Sabato,2,51,1.99,Contanti
20671,2021-07-17 11:47:30,Sabato,2,52,96.39,Bancomat
20672,2021-07-17 11:47:59,Sabato,2,53,17.97,Bancomat
20673,2021-07-17 11:49:15,Sabato,2,54,13.79,Contanti
20674,2021-07-17 11:53:16,Sabato,2,55,35.74,Contanti
20675,2021-07-17 11:58:39,Sabato,2,56,9.98,Contanti
20676,2021-07-17 12:09:16,Sabato,2,57,1.0,Contanti
20677,2021-07-17 12:11:53,Sabato,2,58,3.0,Bancomat
20678,2021-07-17 12:23:58,Sabato,2,59,19.34,Contanti
20679,2021-07-17 12:24:49,Sabato,2,60,8.25,Contanti
20680,2021-07-17 12:36:43,Sabato,2,61,9.95,Contanti
20681,2021-07-17 12:37:06,Sabato,2,62,15.54,Contanti
20682,2021-07-17 12:38:05,Sabato,2,63,1.49,Contanti
20683,2021-07-17 12:38:52,Sabato,2,64,3.49,Contanti
20684,2021-07-17 12:48:57,Sabato,2,65,5.27,Contanti
20685,2021-07-17 12:53:06,Sabato,2,66,5.17,Contanti
20686,2021-07-17 12:54:00,Sabato,2,67,3.95,Contanti
20687,2021-07-17 13:08:07,Sabato,2,68,22.0,Contanti
20688,2021-07-17 13:13:12,Sabato,2,69,9.98,Bancomat
20689,2021-07-17 13:17:18,Sabato,2,70,10.57,Bancomat
20690,2021-07-17 13:18:28,Sabato,2,71,5.35,Contanti
20691,2021-07-17 13:20:05,Sabato,2,72,1.99,Bancomat
20692,2021-07-17 13:21:59,Sabato,2,73,3.0,Contanti
20693,2021-07-17 13:28:41,Sabato,2,74,54.21,Contanti
20694,2021-07-17 13:30:25,Sabato,2,75,13.43,Contanti
20695,2021-07-17 13:38:30,Sabato,2,76,3.6,Contanti
20696,2021-07-17 13:49:39,Sabato,2,77,2.88,Contanti
20697,2021-07-17 13:59:18,Sabato,2,78,24.91,Contanti
20698,2021-07-17 14:21:46,Sabato,2,79,46.82,Bancomat
20699,2021-07-17 14:27:29,Sabato,2,80,16.4,Contanti
20700,2021-07-17 14:32:46,Sabato,2,81,7.71,Contanti
20701,2021-07-17 14:45:41,Sabato,2,82,1.98,Contanti
20702,2021-07-17 14:46:53,Sabato,2,83,27.55,Contanti
20703,2021-07-17 14:48:59,Sabato,2,84,6.0,Contanti
20704,2021-07-17 14:50:15,Sabato,2,85,6.06,Contanti
20705,2021-07-17 14:57:00,Sabato,2,86,3.49,Contanti
20706,2021-07-17 14:57:25,Sabato,2,87,1.89,Contanti
20707,2021-07-17 15:15:47,Sabato,2,88,11.15,Contanti
20708,2021-07-17 15:16:09,Sabato,2,89,2.99,Contanti
20709,2021-07-17 15:21:14,Sabato,2,90,0.0,Contanti
20710,2021-07-17 15:27:09,Sabato,2,91,7.69,Contanti
20711,2021-07-17 15:32:12,Sabato,2,92,18.39,Contanti
20712,2021-07-17 15:33:41,Sabato,2,93,3.99,Contanti
20713,2021-07-17 15:34:16,Sabato,2,94,1.89,Contanti
20714,2021-07-17 15:34:53,Sabato,2,95,5.47,Contanti
20715,2021-07-17 15:37:44,Sabato,2,96,45.53,Bancomat
20716,2021-07-17 15:38:57,Sabato,2,97,29.6,Contanti
20717,2021-07-17 15:40:10,Sabato,2,98,1.25,Contanti
20718,2021-07-17 15:41:27,Sabato,2,99,16.64,Bancomat
20719,2021-07-17 15:41:45,Sabato,2,100,3.99,Contanti
20720,2021-07-17 15:42:43,Sabato,2,101,3.58,Contanti
20721,2021-07-17 15:44:43,Sabato,2,102,2.0,Contanti
20722,2021-07-17 15:50:03,Sabato,2,103,7.44,Contanti
20723,2021-07-17 15:53:05,Sabato,2,104,10.36,Bancomat
20724,2021-07-17 15:53:52,Sabato,2,105,14.98,Contanti
20725,2021-07-17 15:57:21,Sabato,2,106,20.0,Bancomat
20726,2021-07-17 16:00:24,Sabato,2,107,4.98,Contanti
20727,2021-07-17 16:01:04,Sabato,2,108,8.34,Contanti
20728,2021-07-17 16:04:35,Sabato,2,109,62.05,Bancomat
20729,2021-07-17 16:05:19,Sabato,2,110,1.59,Contanti
20730,2021-07-17 16:05:43,Sabato,2,111,4.99,Contanti
20731,2021-07-17 16:17:27,Sabato,2,112,1.29,Contanti
20732,2021-07-17 16:29:34,Sabato,2,113,4.99,Bancomat
20733,2021-07-17 16:31:21,Sabato,2,114,7.55,Contanti
20734,2021-07-17 16:33:05,Sabato,2,115,17.75,Contanti
20735,2021-07-17 16:42:00,Sabato,2,116,90.23,Bancomat
20736,2021-07-17 16:42:18,Sabato,2,117,4.28,Contanti
20737,2021-07-17 16:46:45,Sabato,2,118,10.36,Contanti
