,Data,Settimana,CASSA,Numero,Importo,Pagamento
13915,2021-05-29 09:04:05,Sabato,2,1,43.76,Bancomat
13916,2021-05-29 09:05:24,Sabato,2,2,71.96,Bancomat
13917,2021-05-29 09:06:15,Sabato,2,3,11.96,Bancomat
13918,2021-05-29 09:29:12,Sabato,2,4,2.99,Contanti
13919,2021-05-29 09:47:22,Sabato,2,5,16.08,Contanti
13920,2021-05-29 09:48:43,Sabato,2,6,16.14,Bancomat
13921,2021-05-29 09:51:59,Sabato,2,7,43.3,Contanti
13922,2021-05-29 09:54:19,Sabato,2,8,1.99,Contanti
13923,2021-05-29 09:55:59,Sabato,2,9,1.78,Contanti
13924,2021-05-29 10:00:08,Sabato,2,10,14.99,Contanti
13925,2021-05-29 10:24:52,Sabato,2,11,19.08,Contanti
13926,2021-05-29 10:32:46,Sabato,2,12,2.0,Contanti
13927,2021-05-29 10:35:24,Sabato,2,13,5.27,Contanti
13928,2021-05-29 10:35:50,Sabato,2,14,24.95,Contanti
13929,2021-05-29 10:39:16,Sabato,2,15,4.79,Contanti
13930,2021-05-29 10:39:40,Sabato,2,16,2.69,Contanti
13931,2021-05-29 10:41:16,Sabato,2,17,17.66,Contanti
13932,2021-05-29 10:42:33,Sabato,2,18,20.57,Contanti
13933,2021-05-29 10:43:11,Sabato,2,19,18.48,Contanti
13934,2021-05-29 10:44:18,Sabato,2,20,3.99,Contanti
13935,2021-05-29 10:58:32,Sabato,2,21,15.35,Contanti
13936,2021-05-29 11:02:20,Sabato,2,22,29.13,Contanti
13937,2021-05-29 11:02:59,Sabato,2,23,4.99,Bancomat
13938,2021-05-29 11:06:04,Sabato,2,24,19.38,Contanti
13939,2021-05-29 11:07:10,Sabato,2,25,5.85,Contanti
13940,2021-05-29 11:09:30,Sabato,2,26,27.58,Contanti
13941,2021-05-29 11:11:25,Sabato,2,27,8.99,Contanti
13942,2021-05-29 11:13:34,Sabato,2,28,60.94,Bancomat
13943,2021-05-29 11:14:00,Sabato,2,29,9.95,Contanti
13944,2021-05-29 11:14:17,Sabato,2,30,9.99,Contanti
13945,2021-05-29 11:15:14,Sabato,2,31,1.59,Bancomat
13946,2021-05-29 11:15:49,Sabato,2,32,2.0,Contanti
13947,2021-05-29 11:22:25,Sabato,2,33,3.49,Contanti
13948,2021-05-29 11:23:56,Sabato,2,34,36.63,Bancomat
13949,2021-05-29 11:25:21,Sabato,2,35,16.37,Bancomat
13950,2021-05-29 11:27:15,Sabato,2,36,55.14,Bancomat
13951,2021-05-29 11:29:04,Sabato,2,37,44.55,Contanti
13952,2021-05-29 11:30:42,Sabato,2,38,6.38,Contanti
13953,2021-05-29 11:31:52,Sabato,2,39,13.15,Contanti
13954,2021-05-29 11:34:38,Sabato,2,40,12.95,Contanti
13955,2021-05-29 11:38:22,Sabato,2,41,5.99,Contanti
13956,2021-05-29 11:40:52,Sabato,2,42,7.98,Contanti
13957,2021-05-29 11:41:06,Sabato,2,43,2.99,Contanti
13958,2021-05-29 11:42:02,Sabato,2,44,5.46,Bancomat
13959,2021-05-29 11:43:37,Sabato,2,45,27.95,Contanti
13960,2021-05-29 11:44:07,Sabato,2,46,7.18,Contanti
13961,2021-05-29 11:53:05,Sabato,2,47,57.62,Bancomat
13962,2021-05-29 11:59:00,Sabato,2,48,16.99,Bancomat
13963,2021-05-29 12:05:38,Sabato,2,49,3.99,Contanti
13964,2021-05-29 12:11:52,Sabato,2,50,47.67,Bancomat
13965,2021-05-29 12:13:36,Sabato,2,51,3.88,Contanti
13966,2021-05-29 12:15:45,Sabato,2,52,72.04,Bancomat
13967,2021-05-29 12:17:21,Sabato,2,53,14.96,Contanti
13968,2021-05-29 12:20:21,Sabato,2,54,40.9,Contanti
13969,2021-05-29 12:24:04,Sabato,2,55,36.58,Contanti
13970,2021-05-29 12:24:19,Sabato,2,56,2.99,Contanti
13971,2021-05-29 12:27:12,Sabato,2,57,34.51,Bancomat
13972,2021-05-29 12:29:15,Sabato,2,58,10.95,Contanti
13973,2021-05-29 12:48:18,Sabato,2,59,3.98,Contanti
13974,2021-05-29 12:52:41,Sabato,2,60,7.87,Contanti
13975,2021-05-29 12:57:15,Sabato,2,61,14.56,Bancomat
13976,2021-05-29 12:59:00,Sabato,2,62,2.0,Contanti
13977,2021-05-29 13:04:50,Sabato,2,63,45.07,Contanti
13978,2021-05-29 13:06:16,Sabato,2,64,31.66,Bancomat
13979,2021-05-29 13:18:57,Sabato,2,65,3.18,Contanti
13980,2021-05-29 13:31:43,Sabato,2,66,12.16,Contanti
13981,2021-05-29 13:38:19,Sabato,2,67,5.28,Bancomat
13982,2021-05-29 13:47:11,Sabato,2,68,4.99,Contanti
13983,2021-05-29 14:29:46,Sabato,2,69,2.0,Contanti
13984,2021-05-29 14:38:38,Sabato,2,70,2.67,Contanti
13985,2021-05-29 14:41:52,Sabato,2,71,20.1,Contanti
13986,2021-05-29 14:43:16,Sabato,2,72,19.55,Contanti
13987,2021-05-29 14:50:52,Sabato,2,73,23.24,Bancomat
13988,2021-05-29 14:51:27,Sabato,2,74,15.99,Contanti
13989,2021-05-29 14:54:42,Sabato,2,75,5.99,Bancomat
13990,2021-05-29 15:05:40,Sabato,2,76,28.97,Bancomat
13991,2021-05-29 15:06:00,Sabato,2,77,5.78,Contanti
13992,2021-05-29 15:07:48,Sabato,2,78,30.56,Contanti
13993,2021-05-29 15:18:04,Sabato,2,79,62.17,Bancomat
13994,2021-05-29 15:30:25,Sabato,2,80,16.46,Contanti
13995,2021-05-29 15:30:52,Sabato,2,81,3.99,Contanti
13996,2021-05-29 15:33:57,Sabato,2,82,17.83,Bancomat
13997,2021-05-29 15:34:27,Sabato,2,83,8.49,Contanti
13998,2021-05-29 15:40:52,Sabato,2,84,48.0,Bancomat
13999,2021-05-29 15:43:39,Sabato,2,85,76.19,Bancomat
14000,2021-05-29 15:58:19,Sabato,2,86,33.07,Bancomat
14001,2021-05-29 16:00:28,Sabato,2,87,71.69,Contanti
14002,2021-05-29 16:02:22,Sabato,2,88,29.3,Contanti
14003,2021-05-29 16:03:13,Sabato,2,89,15.98,Contanti
14004,2021-05-29 16:04:19,Sabato,2,90,20.13,Bancomat
14005,2021-05-29 16:05:59,Sabato,2,91,23.93,Contanti
14006,2021-05-29 16:10:13,Sabato,2,92,4.0,Contanti
14007,2021-05-29 16:13:12,Sabato,2,93,6.49,Contanti
14008,2021-05-29 16:23:50,Sabato,2,94,7.75,Contanti
14009,2021-05-29 16:32:58,Sabato,2,95,26.06,Bancomat
14010,2021-05-29 16:34:05,Sabato,2,96,23.06,Bancomat
14011,2021-05-29 16:37:13,Sabato,2,97,4.76,Contanti
14012,2021-05-29 16:40:53,Sabato,2,98,35.73,Bancomat
14013,2021-05-29 16:42:16,Sabato,2,99,29.6,Bancomat
14014,2021-05-29 16:43:11,Sabato,2,100,2.78,Contanti
14015,2021-05-29 16:43:39,Sabato,2,101,2.49,Contanti
14016,2021-05-29 16:50:01,Sabato,2,102,13.99,Contanti
14017,2021-05-29 16:56:29,Sabato,2,103,34.2,Contanti
14018,2021-05-29 16:59:31,Sabato,2,104,41.05,Contanti
14019,2021-05-29 17:00:57,Sabato,2,105,1.0,Contanti
14020,2021-05-29 17:03:52,Sabato,2,106,30.1,Contanti
