,Data,Settimana,CASSA,Numero,Importo,Pagamento
655,2021-07-30 09:07:27,Venerdì,2,1,16.35,Contanti
656,2021-07-30 09:26:50,Venerdì,2,2,14.06,Bancomat
657,2021-07-30 09:37:49,Venerdì,2,3,13.35,Contanti
658,2021-07-30 09:39:34,Venerdì,2,4,26.25,Contanti
659,2021-07-30 09:40:14,Venerdì,2,5,15.36,Bancomat
660,2021-07-30 09:41:42,Venerdì,2,6,6.95,Contanti
661,2021-07-30 09:42:44,Venerdì,2,7,15.25,Contanti
662,2021-07-30 09:46:51,Venerdì,2,8,11.56,Bancomat
663,2021-07-30 09:47:55,Venerdì,2,9,23.11,Contanti
664,2021-07-30 09:50:43,Venerdì,2,10,9.75,Contanti
665,2021-07-30 10:06:17,Venerdì,2,11,12.08,Contanti
666,2021-07-30 10:16:37,Venerdì,2,12,12.0,Contanti
667,2021-07-30 10:28:45,Venerdì,2,13,0.0,Contanti
668,2021-07-30 10:37:02,Venerdì,2,14,27.98,Bancomat
669,2021-07-30 10:37:36,Venerdì,2,15,8.48,Bancomat
670,2021-07-30 10:46:59,Venerdì,2,16,14.35,Bancomat
671,2021-07-30 10:49:40,Venerdì,2,17,2.99,Bancomat
672,2021-07-30 10:53:07,Venerdì,2,18,7.36,Contanti
673,2021-07-30 10:54:32,Venerdì,2,19,36.55,Contanti
674,2021-07-30 11:04:30,Venerdì,2,20,4.99,Contanti
675,2021-07-30 11:08:17,Venerdì,2,21,0.58,Contanti
676,2021-07-30 11:20:48,Venerdì,2,22,9.57,Bancomat
677,2021-07-30 11:21:23,Venerdì,2,23,6.99,Bancomat
678,2021-07-30 11:23:42,Venerdì,2,24,3.99,Contanti
679,2021-07-30 11:31:59,Venerdì,2,25,30.52,Contanti
680,2021-07-30 11:44:05,Venerdì,2,26,11.07,Bancomat
681,2021-07-30 11:46:41,Venerdì,2,27,3.99,Contanti
682,2021-07-30 11:47:39,Venerdì,2,28,15.98,Bancomat
683,2021-07-30 11:57:39,Venerdì,2,29,7.18,Contanti
684,2021-07-30 11:59:26,Venerdì,2,30,14.23,Contanti
685,2021-07-30 11:59:57,Venerdì,2,31,4.99,Bancomat
686,2021-07-30 12:01:28,Venerdì,2,32,2.99,Contanti
687,2021-07-30 12:07:28,Venerdì,2,33,33.25,Contanti
688,2021-07-30 12:16:00,Venerdì,2,34,1.0,Contanti
689,2021-07-30 12:21:21,Venerdì,2,35,2.98,Contanti
690,2021-07-30 12:26:10,Venerdì,2,36,13.85,Contanti
691,2021-07-30 12:27:14,Venerdì,2,37,3.99,Contanti
692,2021-07-30 12:53:17,Venerdì,2,38,68.03,Contanti
693,2021-07-30 13:00:37,Venerdì,2,39,8.69,Contanti
694,2021-07-30 13:07:46,Venerdì,2,40,11.18,Contanti
695,2021-07-30 13:20:26,Venerdì,2,41,8.67,Bancomat
696,2021-07-30 13:22:26,Venerdì,2,42,15.98,Contanti
697,2021-07-30 13:24:24,Venerdì,2,43,11.58,Contanti
698,2021-07-30 13:26:09,Venerdì,2,44,16.58,Contanti
699,2021-07-30 13:30:39,Venerdì,2,45,37.96,Bancomat
700,2021-07-30 13:32:05,Venerdì,2,46,4.99,Contanti
701,2021-07-30 13:37:14,Venerdì,2,47,15.94,Bancomat
702,2021-07-30 13:39:53,Venerdì,2,48,31.35,Contanti
703,2021-07-30 13:44:15,Venerdì,2,49,3.49,Contanti
704,2021-07-30 14:16:18,Venerdì,2,50,8.78,Bancomat
705,2021-07-30 14:17:01,Venerdì,2,51,7.47,Bancomat
706,2021-07-30 15:28:55,Venerdì,2,52,1.0,Contanti
707,2021-07-30 15:50:32,Venerdì,2,53,95.71,Bancomat
708,2021-07-30 15:55:38,Venerdì,2,54,24.1,Contanti
709,2021-07-30 15:57:15,Venerdì,2,55,21.08,Contanti
710,2021-07-30 15:57:36,Venerdì,2,56,3.98,Contanti
711,2021-07-30 15:59:05,Venerdì,2,57,9.0,Contanti
712,2021-07-30 16:08:15,Venerdì,2,58,125.0,Contanti
713,2021-07-30 16:15:09,Venerdì,2,59,22.44,Bancomat
714,2021-07-30 16:22:29,Venerdì,2,60,28.9,Bancomat
715,2021-07-30 16:24:27,Venerdì,2,61,22.51,Contanti
716,2021-07-30 16:30:31,Venerdì,2,62,16.4,Contanti
717,2021-07-30 16:31:29,Venerdì,2,63,20.85,Bancomat
718,2021-07-30 16:32:43,Venerdì,2,64,2.0,Contanti
719,2021-07-30 16:36:04,Venerdì,2,65,39.45,Contanti
720,2021-07-30 16:40:59,Venerdì,2,66,1.49,Contanti
721,2021-07-30 16:56:10,Venerdì,2,67,6.98,Bancomat
722,2021-07-30 17:08:22,Venerdì,2,68,9.99,Contanti
723,2021-07-30 17:12:20,Venerdì,2,69,0.0,Contanti
724,2021-07-30 17:13:47,Venerdì,2,70,25.09,Bancomat
725,2021-07-30 17:22:04,Venerdì,2,71,10.63,Contanti
726,2021-07-30 17:28:12,Venerdì,2,72,79.99,Bancomat
727,2021-07-30 17:31:13,Venerdì,2,73,1.0,Contanti
728,2021-07-30 17:39:37,Venerdì,2,74,75.43,Bancomat
729,2021-07-30 17:43:13,Venerdì,2,75,2.28,Contanti
730,2021-07-30 17:44:29,Venerdì,2,76,14.98,Contanti
731,2021-07-30 17:51:28,Venerdì,2,77,29.8,Bancomat
732,2021-07-30 17:52:25,Venerdì,2,78,8.0,Contanti
733,2021-07-30 17:53:28,Venerdì,2,79,5.38,Contanti
734,2021-07-30 17:54:18,Venerdì,2,80,11.75,Contanti
735,2021-07-30 17:55:46,Venerdì,2,81,1.99,Contanti
736,2021-07-30 18:01:35,Venerdì,2,82,11.26,Contanti
737,2021-07-30 18:06:26,Venerdì,2,83,3.57,Contanti
738,2021-07-30 18:08:12,Venerdì,2,84,2.59,Contanti
739,2021-07-30 18:13:57,Venerdì,2,85,7.5,Contanti
740,2021-07-30 18:19:42,Venerdì,2,86,13.98,Contanti
741,2021-07-30 18:27:01,Venerdì,2,87,19.15,Bancomat
742,2021-07-30 18:31:54,Venerdì,2,88,7.04,Contanti
743,2021-07-30 18:52:50,Venerdì,2,89,19.44,Contanti
744,2021-07-30 18:54:44,Venerdì,2,90,10.95,Bancomat
745,2021-07-30 18:57:12,Venerdì,2,91,44.1,Bancomat
746,2021-07-30 18:58:08,Venerdì,2,92,17.49,Bancomat
747,2021-07-30 18:59:37,Venerdì,2,93,2.0,Contanti
748,2021-07-30 19:00:59,Venerdì,2,94,2.99,Contanti
749,2021-07-30 19:05:53,Venerdì,2,95,11.55,Contanti
750,2021-07-30 19:21:04,Venerdì,2,96,0.0,Contanti
751,2021-07-30 19:22:36,Venerdì,2,97,5.98,Contanti
752,2021-07-30 19:26:26,Venerdì,2,98,50.16,Bancomat
753,2021-07-30 19:34:23,Venerdì,2,99,41.25,Bancomat
754,2021-07-30 19:35:51,Venerdì,2,100,2.99,Bancomat
755,2021-07-30 19:43:00,Venerdì,2,101,16.28,Contanti
756,2021-07-30 19:45:23,Venerdì,2,102,34.04,Bancomat
757,2021-07-30 19:53:57,Venerdì,2,103,11.1,Bancomat
758,2021-07-30 19:54:33,Venerdì,2,104,0.1,Contanti
759,2021-07-30 20:01:46,Venerdì,2,105,2.99,Contanti
