,Data,Settimana,CASSA,Numero,Importo,Pagamento
11238,2021-05-10 09:08:24,Lunedì,2,1,37.99,Bancomat
11239,2021-05-10 09:19:51,Lunedì,2,2,4.49,Contanti
11240,2021-05-10 09:26:01,Lunedì,2,3,1.0,Contanti
11241,2021-05-10 09:40:57,Lunedì,2,4,33.35,Contanti
11242,2021-05-10 09:42:16,Lunedì,2,5,14.07,Contanti
11243,2021-05-10 10:04:04,Lunedì,2,6,3.5,Contanti
11244,2021-05-10 10:06:10,Lunedì,2,7,21.05,Contanti
11245,2021-05-10 10:22:32,Lunedì,2,8,13.2,Contanti
11246,2021-05-10 10:24:14,Lunedì,2,9,15.74,Contanti
11247,2021-05-10 10:25:53,Lunedì,2,10,23.68,Bancomat
11248,2021-05-10 10:27:14,Lunedì,2,11,12.25,Contanti
11249,2021-05-10 10:27:53,Lunedì,2,12,3.38,Contanti
11250,2021-05-10 10:43:36,Lunedì,2,13,5.98,Contanti
11251,2021-05-10 10:58:05,Lunedì,2,14,5.69,Contanti
11252,2021-05-10 10:59:19,Lunedì,2,15,3.98,Contanti
11253,2021-05-10 11:08:21,Lunedì,2,16,8.08,Contanti
11254,2021-05-10 11:13:20,Lunedì,2,17,40.22,Bancomat
11255,2021-05-10 11:21:28,Lunedì,2,18,8.55,Contanti
11256,2021-05-10 11:23:13,Lunedì,2,19,26.21,Contanti
11257,2021-05-10 11:24:07,Lunedì,2,20,6.48,Contanti
11258,2021-05-10 11:34:22,Lunedì,2,21,8.48,Bancomat
11259,2021-05-10 11:40:24,Lunedì,2,22,4.99,Contanti
11260,2021-05-10 11:48:43,Lunedì,2,23,7.68,Contanti
11261,2021-05-10 11:49:21,Lunedì,2,24,8.15,Contanti
11262,2021-05-10 11:51:49,Lunedì,2,25,15.97,Bancomat
11263,2021-05-10 11:52:29,Lunedì,2,26,9.55,Contanti
11264,2021-05-10 11:52:44,Lunedì,2,27,2.99,Contanti
11265,2021-05-10 12:04:06,Lunedì,2,28,40.12,Bancomat
11266,2021-05-10 12:04:32,Lunedì,2,29,2.99,Contanti
11267,2021-05-10 12:06:39,Lunedì,2,30,15.97,Contanti
11268,2021-05-10 12:07:35,Lunedì,2,31,6.55,Contanti
11269,2021-05-10 12:08:21,Lunedì,2,32,5.95,Contanti
11270,2021-05-10 12:09:35,Lunedì,2,33,8.38,Bancomat
11271,2021-05-10 12:14:41,Lunedì,2,34,11.75,Contanti
11272,2021-05-10 12:37:24,Lunedì,2,35,6.05,Contanti
11273,2021-05-10 12:38:48,Lunedì,2,36,2.0,Contanti
11274,2021-05-10 12:39:31,Lunedì,2,37,7.48,Contanti
11275,2021-05-10 12:40:05,Lunedì,2,38,2.99,Contanti
11276,2021-05-10 12:53:57,Lunedì,2,39,1.99,Contanti
11277,2021-05-10 12:57:59,Lunedì,2,40,20.64,Bancomat
11278,2021-05-10 13:00:35,Lunedì,2,41,20.94,Bancomat
11279,2021-05-10 13:09:59,Lunedì,2,42,17.36,Bancomat
11280,2021-05-10 13:11:38,Lunedì,2,43,13.05,Contanti
11281,2021-05-10 13:12:42,Lunedì,2,44,5.96,Contanti
11282,2021-05-10 13:17:02,Lunedì,2,45,49.93,Bancomat
11283,2021-05-10 13:32:26,Lunedì,2,46,11.88,Contanti
11284,2021-05-10 13:35:19,Lunedì,2,47,13.99,Contanti
11285,2021-05-10 14:08:45,Lunedì,2,48,21.05,Contanti
11286,2021-05-10 14:15:47,Lunedì,2,49,15.15,Contanti
11287,2021-05-10 14:25:56,Lunedì,2,50,80.59,Bancomat
11288,2021-05-10 14:49:10,Lunedì,2,51,4.49,Contanti
11289,2021-05-10 14:55:06,Lunedì,2,52,8.18,Contanti
11290,2021-05-10 15:01:34,Lunedì,2,53,44.99,Bancomat
11291,2021-05-10 15:01:53,Lunedì,2,54,0.69,Contanti
11292,2021-05-10 15:07:04,Lunedì,2,55,25.07,Bancomat
11293,2021-05-10 15:11:18,Lunedì,2,56,121.21,Bancomat
11294,2021-05-10 15:12:29,Lunedì,2,57,4.99,Contanti
11295,2021-05-10 15:13:51,Lunedì,2,58,12.85,Contanti
11296,2021-05-10 15:26:35,Lunedì,2,59,19.16,Contanti
11297,2021-05-10 15:27:46,Lunedì,2,60,6.99,Contanti
11298,2021-05-10 15:29:36,Lunedì,2,61,24.74,Contanti
11299,2021-05-10 15:30:05,Lunedì,2,62,11.99,Contanti
