,Data,Settimana,CASSA,Numero,Importo,Pagamento
19632,2021-07-10 09:13:36,Sabato,2,1,9.99,Contanti
19633,2021-07-10 09:15:20,Sabato,2,2,7.95,Contanti
19634,2021-07-10 09:16:38,Sabato,2,3,19.99,Contanti
19635,2021-07-10 09:19:06,Sabato,2,4,19.97,Bancomat
19636,2021-07-10 09:21:40,Sabato,2,5,6.99,Contanti
19637,2021-07-10 09:27:28,Sabato,2,6,16.95,Contanti
19638,2021-07-10 09:28:20,Sabato,2,7,11.18,Contanti
19639,2021-07-10 09:30:29,Sabato,2,8,2.69,Contanti
19640,2021-07-10 09:39:22,Sabato,2,9,14.26,Bancomat
19641,2021-07-10 09:45:59,Sabato,2,10,12.4,Contanti
19642,2021-07-10 09:47:56,Sabato,2,11,4.08,Bancomat
19643,2021-07-10 10:00:20,Sabato,2,12,2.36,Contanti
19644,2021-07-10 10:03:52,Sabato,2,13,6.99,Contanti
19645,2021-07-10 10:08:11,Sabato,2,14,6.48,Contanti
19646,2021-07-10 10:08:57,Sabato,2,15,4.49,Contanti
19647,2021-07-10 10:12:39,Sabato,2,16,23.48,Contanti
19648,2021-07-10 10:15:25,Sabato,2,17,20.07,Bancomat
19649,2021-07-10 10:19:41,Sabato,2,18,4.99,Contanti
19650,2021-07-10 10:21:47,Sabato,2,19,36.43,Contanti
19651,2021-07-10 10:23:23,Sabato,2,20,14.98,Contanti
19652,2021-07-10 10:29:24,Sabato,2,21,7.95,Contanti
19653,2021-07-10 10:30:43,Sabato,2,22,13.67,Bancomat
19654,2021-07-10 10:32:22,Sabato,2,23,37.46,Bancomat
19655,2021-07-10 10:34:11,Sabato,2,24,11.49,Contanti
19656,2021-07-10 10:37:00,Sabato,2,25,42.82,Bancomat
19657,2021-07-10 10:38:17,Sabato,2,26,26.17,Bancomat
19658,2021-07-10 10:38:46,Sabato,2,27,1.29,Contanti
19659,2021-07-10 10:40:24,Sabato,2,28,34.15,Contanti
19660,2021-07-10 10:45:35,Sabato,2,29,47.7,Contanti
19661,2021-07-10 10:55:36,Sabato,2,30,23.05,Contanti
19662,2021-07-10 10:57:20,Sabato,2,31,1.99,Bancomat
19663,2021-07-10 10:58:39,Sabato,2,32,6.99,Contanti
19664,2021-07-10 11:01:41,Sabato,2,33,32.42,Bancomat
19665,2021-07-10 11:12:08,Sabato,2,34,10.5,Contanti
19666,2021-07-10 11:13:02,Sabato,2,35,0.0,Contanti
19667,2021-07-10 11:24:27,Sabato,2,36,32.7,Bancomat
19668,2021-07-10 11:24:44,Sabato,2,37,4.98,Contanti
19669,2021-07-10 11:25:43,Sabato,2,38,8.35,Contanti
19670,2021-07-10 11:27:12,Sabato,2,39,2.99,Contanti
19671,2021-07-10 11:37:41,Sabato,2,40,20.3,Bancomat
19672,2021-07-10 11:38:32,Sabato,2,41,10.0,Contanti
19673,2021-07-10 11:40:33,Sabato,2,42,24.02,Contanti
19674,2021-07-10 11:41:07,Sabato,2,43,3.88,Contanti
19675,2021-07-10 11:42:50,Sabato,2,44,43.59,Contanti
19676,2021-07-10 11:43:25,Sabato,2,45,5.98,Contanti
19677,2021-07-10 11:44:03,Sabato,2,46,6.98,Contanti
19678,2021-07-10 11:45:08,Sabato,2,47,12.96,Contanti
19679,2021-07-10 11:46:09,Sabato,2,48,1.5,Contanti
19680,2021-07-10 11:46:36,Sabato,2,49,1.0,Contanti
19681,2021-07-10 11:51:16,Sabato,2,50,42.35,Contanti
19682,2021-07-10 11:53:05,Sabato,2,51,22.91,Bancomat
19683,2021-07-10 11:54:28,Sabato,2,52,19.8,Contanti
19684,2021-07-10 11:54:40,Sabato,2,53,1.0,Contanti
19685,2021-07-10 11:55:47,Sabato,2,54,10.16,Bancomat
19686,2021-07-10 12:00:10,Sabato,2,55,5.99,Contanti
19687,2021-07-10 12:01:13,Sabato,2,56,0.79,Contanti
19688,2021-07-10 12:02:39,Sabato,2,57,18.9,Contanti
19689,2021-07-10 12:03:36,Sabato,2,58,14.19,Contanti
19690,2021-07-10 12:04:17,Sabato,2,59,5.99,Bancomat
19691,2021-07-10 12:06:43,Sabato,2,60,57.49,Bancomat
19692,2021-07-10 12:15:25,Sabato,2,61,3.99,Contanti
19693,2021-07-10 12:16:36,Sabato,2,62,16.5,Contanti
19694,2021-07-10 12:20:34,Sabato,2,63,1.79,Contanti
19695,2021-07-10 12:21:51,Sabato,2,64,18.45,Contanti
19696,2021-07-10 12:22:40,Sabato,2,65,15.5,Contanti
19697,2021-07-10 12:24:48,Sabato,2,66,13.15,Contanti
19698,2021-07-10 12:29:17,Sabato,2,67,13.32,Bancomat
19699,2021-07-10 12:30:18,Sabato,2,68,32.95,Contanti
19700,2021-07-10 12:31:15,Sabato,2,69,4.54,Contanti
19701,2021-07-10 12:31:51,Sabato,2,70,6.99,Contanti
19702,2021-07-10 12:35:13,Sabato,2,71,49.91,Bancomat
19703,2021-07-10 12:37:07,Sabato,2,72,6.29,Contanti
19704,2021-07-10 12:38:49,Sabato,2,73,5.48,Contanti
19705,2021-07-10 12:42:43,Sabato,2,74,1.99,Contanti
19706,2021-07-10 12:45:46,Sabato,2,75,7.25,Contanti
19707,2021-07-10 12:47:08,Sabato,2,76,13.4,Contanti
19708,2021-07-10 12:49:42,Sabato,2,77,5.99,Contanti
19709,2021-07-10 12:50:47,Sabato,2,78,12.0,Contanti
19710,2021-07-10 13:04:22,Sabato,2,79,3.49,Contanti
19711,2021-07-10 13:10:28,Sabato,2,80,50.41,Bancomat
19712,2021-07-10 13:19:22,Sabato,2,81,30.0,Contanti
19713,2021-07-10 13:22:16,Sabato,2,82,8.03,Bancomat
19714,2021-07-10 13:25:07,Sabato,2,83,10.99,Contanti
19715,2021-07-10 13:26:17,Sabato,2,84,5.99,Contanti
19716,2021-07-10 13:30:07,Sabato,2,85,14.1,Contanti
19717,2021-07-10 13:55:30,Sabato,2,86,19.48,Contanti
19718,2021-07-10 14:03:07,Sabato,2,87,29.29,Bancomat
19719,2021-07-10 14:30:01,Sabato,2,88,15.02,Contanti
19720,2021-07-10 14:37:06,Sabato,2,89,7.49,Bancomat
19721,2021-07-10 14:38:05,Sabato,2,90,23.98,Contanti
19722,2021-07-10 14:41:53,Sabato,2,91,6.48,Contanti
19723,2021-07-10 14:51:42,Sabato,2,92,27.25,Contanti
19724,2021-07-10 14:56:44,Sabato,2,93,46.49,Contanti
19725,2021-07-10 14:58:14,Sabato,2,94,10.22,Contanti
19726,2021-07-10 15:00:15,Sabato,2,95,18.89,Contanti
19727,2021-07-10 15:05:06,Sabato,2,96,0.69,Contanti
19728,2021-07-10 15:07:26,Sabato,2,97,44.45,Bancomat
19729,2021-07-10 15:11:00,Sabato,2,98,16.95,Contanti
19730,2021-07-10 15:17:21,Sabato,2,99,51.98,Contanti
19731,2021-07-10 15:19:28,Sabato,2,100,6.47,Contanti
19732,2021-07-10 15:21:31,Sabato,2,101,31.65,Contanti
19733,2021-07-10 15:22:37,Sabato,2,102,13.38,Contanti
19734,2021-07-10 15:24:52,Sabato,2,103,32.58,Bancomat
19735,2021-07-10 15:31:20,Sabato,2,104,8.97,Bancomat
19736,2021-07-10 15:32:13,Sabato,2,105,7.99,Bancomat
19737,2021-07-10 15:32:31,Sabato,2,106,1.0,Contanti
19738,2021-07-10 15:42:45,Sabato,2,107,10.52,Bancomat
19739,2021-07-10 15:44:54,Sabato,2,108,1.0,Contanti
19740,2021-07-10 15:48:47,Sabato,2,109,3.35,Contanti
19741,2021-07-10 15:49:12,Sabato,2,110,4.99,Contanti
19742,2021-07-10 16:00:58,Sabato,2,111,2.59,Contanti
19743,2021-07-10 16:02:13,Sabato,2,112,4.56,Contanti
19744,2021-07-10 16:05:07,Sabato,2,113,46.1,Contanti
19745,2021-07-10 16:13:14,Sabato,2,114,69.49,Contanti
19746,2021-07-10 16:16:18,Sabato,2,115,43.72,Bancomat
19747,2021-07-10 16:20:00,Sabato,2,116,2.99,Bancomat
19748,2021-07-10 16:28:35,Sabato,2,117,2.0,Contanti
19749,2021-07-10 16:33:22,Sabato,2,118,48.2,Contanti
19750,2021-07-10 16:36:17,Sabato,2,119,18.98,Bancomat
19751,2021-07-10 16:41:42,Sabato,2,120,6.19,Contanti
19752,2021-07-10 16:43:23,Sabato,2,121,1.0,Contanti
19753,2021-07-10 16:48:23,Sabato,2,122,18.12,Contanti
19754,2021-07-10 16:50:34,Sabato,2,123,26.15,Bancomat
19755,2021-07-10 16:54:33,Sabato,2,124,23.07,Bancomat
19756,2021-07-10 16:56:55,Sabato,2,125,39.93,Bancomat
19757,2021-07-10 16:57:22,Sabato,2,126,5.07,Contanti
19758,2021-07-10 17:00:38,Sabato,2,127,0.99,Contanti
19759,2021-07-10 17:01:54,Sabato,2,128,20.82,Bancomat
19760,2021-07-10 17:03:12,Sabato,2,129,23.98,Contanti
19761,2021-07-10 17:07:01,Sabato,2,130,5.99,Contanti
19762,2021-07-10 17:07:40,Sabato,2,131,29.98,Contanti
19763,2021-07-10 17:09:38,Sabato,2,132,46.76,Bancomat
19764,2021-07-10 17:10:08,Sabato,2,133,6.49,Contanti
19765,2021-07-10 17:12:44,Sabato,2,134,9.45,Contanti
19766,2021-07-10 17:13:48,Sabato,2,135,8.98,Contanti
19767,2021-07-10 17:15:35,Sabato,2,136,9.96,Contanti
19768,2021-07-10 17:17:10,Sabato,2,137,9.8,Contanti
19769,2021-07-10 17:19:04,Sabato,2,138,16.8,Contanti
19770,2021-07-10 17:23:49,Sabato,2,139,1.0,Contanti
19771,2021-07-10 17:27:48,Sabato,2,140,1.0,Contanti
19772,2021-07-10 17:28:49,Sabato,2,141,20.8,Contanti
19773,2021-07-10 17:32:48,Sabato,2,142,1.99,Contanti
19774,2021-07-10 17:35:13,Sabato,2,143,6.02,Contanti
19775,2021-07-10 17:36:56,Sabato,2,144,19.54,Contanti
19776,2021-07-10 17:41:10,Sabato,2,145,16.7,Contanti
19777,2021-07-10 17:41:25,Sabato,2,146,0.69,Contanti
19778,2021-07-10 17:48:07,Sabato,2,147,9.98,Contanti
19779,2021-07-10 17:54:06,Sabato,2,148,10.98,Bancomat
19780,2021-07-10 17:55:12,Sabato,2,149,20.98,Bancomat
19781,2021-07-10 17:55:57,Sabato,2,150,8.98,Bancomat
19782,2021-07-10 17:56:55,Sabato,2,151,13.54,Contanti
19783,2021-07-10 17:58:12,Sabato,2,152,6.99,Contanti
19784,2021-07-10 17:59:22,Sabato,2,153,3.0,Contanti
19785,2021-07-10 18:00:34,Sabato,2,154,10.0,Bancomat
19786,2021-07-10 18:08:47,Sabato,2,155,5.95,Contanti
19787,2021-07-10 18:16:47,Sabato,2,156,22.84,Contanti
19788,2021-07-10 18:22:32,Sabato,2,157,0.96,Contanti
19789,2021-07-10 18:23:56,Sabato,2,158,11.99,Contanti
19790,2021-07-10 18:24:21,Sabato,2,159,4.99,Contanti
19791,2021-07-10 18:24:44,Sabato,2,160,9.49,Contanti
19792,2021-07-10 18:25:24,Sabato,2,161,3.98,Contanti
19793,2021-07-10 18:27:51,Sabato,2,162,24.98,Contanti
19794,2021-07-10 18:28:52,Sabato,2,163,11.16,Bancomat
19795,2021-07-10 18:29:26,Sabato,2,164,4.28,Contanti
19796,2021-07-10 18:30:32,Sabato,2,165,8.97,Contanti
19797,2021-07-10 18:31:11,Sabato,2,166,20.0,Bancomat
19798,2021-07-10 18:32:05,Sabato,2,167,8.97,Contanti
19799,2021-07-10 18:36:48,Sabato,2,168,14.4,Bancomat
19800,2021-07-10 18:37:53,Sabato,2,169,16.98,Contanti
19801,2021-07-10 18:41:12,Sabato,2,170,26.1,Contanti
19802,2021-07-10 18:44:46,Sabato,2,171,13.8,Contanti
19803,2021-07-10 18:49:01,Sabato,2,172,3.78,Contanti
19804,2021-07-10 18:53:37,Sabato,2,173,32.05,Contanti
19805,2021-07-10 18:54:06,Sabato,2,174,0.89,Contanti
19806,2021-07-10 18:59:19,Sabato,2,175,55.67,Bancomat
19807,2021-07-10 19:00:56,Sabato,2,176,16.97,Bancomat
19808,2021-07-10 19:03:47,Sabato,2,177,12.98,Bancomat
19809,2021-07-10 19:04:12,Sabato,2,178,14.75,Contanti
19810,2021-07-10 19:04:24,Sabato,2,179,2.59,Contanti
19811,2021-07-10 19:05:56,Sabato,2,180,25.45,Contanti
19812,2021-07-10 19:06:19,Sabato,2,181,1.99,Contanti
19813,2021-07-10 19:06:40,Sabato,2,182,5.98,Contanti
19814,2021-07-10 19:11:09,Sabato,2,183,63.89,Contanti
19815,2021-07-10 19:12:20,Sabato,2,184,7.98,Contanti
19816,2021-07-10 19:13:26,Sabato,2,185,13.0,Contanti
19817,2021-07-10 19:14:21,Sabato,2,186,12.56,Contanti
19818,2021-07-10 19:16:52,Sabato,2,187,48.38,Contanti
19819,2021-07-10 19:22:40,Sabato,2,188,39.49,Bancomat
19820,2021-07-10 19:24:04,Sabato,2,189,9.28,Contanti
19821,2021-07-10 19:24:48,Sabato,2,190,4.99,Contanti
19822,2021-07-10 19:25:38,Sabato,2,191,29.99,Contanti
19823,2021-07-10 19:32:22,Sabato,2,192,1.49,Contanti
19824,2021-07-10 19:45:03,Sabato,2,193,3.98,Contanti
19825,2021-07-10 19:46:51,Sabato,2,194,12.97,Bancomat
19826,2021-07-10 19:50:05,Sabato,2,195,57.01,Bancomat
19827,2021-07-10 19:53:26,Sabato,2,196,10.95,Contanti
19828,2021-07-10 19:55:33,Sabato,2,197,47.13,Bancomat
