,Data,Settimana,CASSA,Numero,Importo,Pagamento
17648,2021-06-25 09:16:54,Venerdì,2,1,14.02,Contanti
17649,2021-06-25 09:18:32,Venerdì,2,2,17.33,Contanti
17650,2021-06-25 09:21:22,Venerdì,2,3,0.9,Contanti
17651,2021-06-25 09:24:57,Venerdì,2,4,5.99,Bancomat
17652,2021-06-25 09:26:03,Venerdì,2,5,3.1,Contanti
17653,2021-06-25 09:26:43,Venerdì,2,6,6.48,Contanti
17654,2021-06-25 09:31:41,Venerdì,2,7,10.56,Contanti
17655,2021-06-25 09:34:28,Venerdì,2,8,17.9,Contanti
17656,2021-06-25 09:36:18,Venerdì,2,9,10.98,Contanti
17657,2021-06-25 09:39:03,Venerdì,2,10,5.99,Contanti
17658,2021-06-25 09:41:42,Venerdì,2,11,21.65,Contanti
17659,2021-06-25 09:44:10,Venerdì,2,12,25.33,Contanti
17660,2021-06-25 09:44:33,Venerdì,2,13,3.0,Contanti
17661,2021-06-25 09:47:15,Venerdì,2,14,4.78,Bancomat
17662,2021-06-25 09:51:34,Venerdì,2,15,13.45,Contanti
17663,2021-06-25 10:05:02,Venerdì,2,16,71.73,Bancomat
17664,2021-06-25 10:12:56,Venerdì,2,17,25.4,Bancomat
17665,2021-06-25 10:27:25,Venerdì,2,18,14.99,Bancomat
17666,2021-06-25 10:28:04,Venerdì,2,19,13.08,Contanti
17667,2021-06-25 10:32:44,Venerdì,2,20,67.99,Contanti
17668,2021-06-25 10:46:54,Venerdì,2,21,2.99,Contanti
17669,2021-06-25 10:47:35,Venerdì,2,22,29.99,Contanti
17670,2021-06-25 10:48:48,Venerdì,2,23,10.59,Contanti
17671,2021-06-25 10:49:54,Venerdì,2,24,19.08,Contanti
17672,2021-06-25 10:50:33,Venerdì,2,25,3.69,Contanti
17673,2021-06-25 10:53:26,Venerdì,2,26,28.44,Contanti
17674,2021-06-25 10:58:02,Venerdì,2,27,4.99,Contanti
17675,2021-06-25 10:59:48,Venerdì,2,28,13.98,Contanti
17676,2021-06-25 11:00:33,Venerdì,2,29,7.98,Contanti
17677,2021-06-25 11:02:25,Venerdì,2,30,13.27,Contanti
17678,2021-06-25 11:02:57,Venerdì,2,31,4.99,Contanti
17679,2021-06-25 11:03:32,Venerdì,2,32,4.99,Contanti
17680,2021-06-25 11:10:42,Venerdì,2,33,14.95,Contanti
17681,2021-06-25 11:13:41,Venerdì,2,34,13.44,Bancomat
17682,2021-06-25 11:14:58,Venerdì,2,35,2.69,Bancomat
17683,2021-06-25 11:23:31,Venerdì,2,36,5.45,Contanti
17684,2021-06-25 11:29:29,Venerdì,2,37,0.51,Contanti
17685,2021-06-25 11:31:57,Venerdì,2,38,13.95,Contanti
17686,2021-06-25 11:35:47,Venerdì,2,39,7.99,Bancomat
17687,2021-06-25 11:38:56,Venerdì,2,40,3.49,Contanti
17688,2021-06-25 11:45:38,Venerdì,2,41,15.99,Contanti
17689,2021-06-25 11:55:09,Venerdì,2,42,11.99,Contanti
17690,2021-06-25 11:57:52,Venerdì,2,43,21.99,Contanti
17691,2021-06-25 11:59:37,Venerdì,2,44,7.99,Contanti
17692,2021-06-25 12:01:59,Venerdì,2,45,9.78,Bancomat
17693,2021-06-25 12:05:38,Venerdì,2,46,4.18,Contanti
17694,2021-06-25 12:18:03,Venerdì,2,47,4.18,Contanti
17695,2021-06-25 12:22:31,Venerdì,2,48,26.41,Bancomat
17696,2021-06-25 12:32:32,Venerdì,2,49,4.75,Contanti
17697,2021-06-25 12:40:21,Venerdì,2,50,4.99,Bancomat
17698,2021-06-25 12:54:06,Venerdì,2,51,8.25,Contanti
17699,2021-06-25 13:13:52,Venerdì,2,52,11.97,Contanti
17700,2021-06-25 13:25:50,Venerdì,2,53,11.53,Bancomat
17701,2021-06-25 13:26:53,Venerdì,2,54,5.98,Contanti
17702,2021-06-25 13:29:03,Venerdì,2,55,29.99,Contanti
17703,2021-06-25 13:37:13,Venerdì,2,56,5.68,Contanti
17704,2021-06-25 13:38:56,Venerdì,2,57,5.95,Contanti
17705,2021-06-25 13:42:03,Venerdì,2,58,2.99,Contanti
17706,2021-06-25 13:45:46,Venerdì,2,59,8.98,Contanti
17707,2021-06-25 13:46:40,Venerdì,2,60,4.5,Contanti
17708,2021-06-25 13:47:47,Venerdì,2,61,11.95,Contanti
17709,2021-06-25 13:52:01,Venerdì,2,62,7.99,Bancomat
17710,2021-06-25 13:54:49,Venerdì,2,63,23.99,Contanti
17711,2021-06-25 14:07:07,Venerdì,2,64,17.98,Contanti
17712,2021-06-25 14:07:27,Venerdì,2,65,3.99,Contanti
17713,2021-06-25 14:09:17,Venerdì,2,66,15.22,Bancomat
17714,2021-06-25 14:21:18,Venerdì,2,67,26.71,Bancomat
17715,2021-06-25 14:33:42,Venerdì,2,68,30.86,Bancomat
17716,2021-06-25 14:46:46,Venerdì,2,69,61.25,Contanti
17717,2021-06-25 14:48:34,Venerdì,2,70,0.0,Contanti
17718,2021-06-25 14:51:43,Venerdì,2,71,3.49,Contanti
17719,2021-06-25 14:58:40,Venerdì,2,72,16.08,Contanti
17720,2021-06-25 14:59:33,Venerdì,2,73,4.48,Contanti
17721,2021-06-25 15:01:55,Venerdì,2,74,6.97,Bancomat
17722,2021-06-25 15:10:00,Venerdì,2,75,14.95,Bancomat
17723,2021-06-25 15:17:07,Venerdì,2,76,19.62,Bancomat
17724,2021-06-25 15:23:34,Venerdì,2,78,2.99,Contanti
17725,2021-06-25 15:30:09,Venerdì,2,79,82.3,Bancomat
17726,2021-06-25 15:38:03,Venerdì,2,80,21.04,Contanti
17727,2021-06-25 15:44:45,Venerdì,2,81,7.99,Contanti
17728,2021-06-25 15:46:47,Venerdì,2,82,12.45,Contanti
17729,2021-06-25 15:47:03,Venerdì,2,83,1.49,Contanti
17730,2021-06-25 15:49:08,Venerdì,2,84,6.98,Contanti
17731,2021-06-25 15:49:59,Venerdì,2,85,1.0,Contanti
17732,2021-06-25 16:00:06,Venerdì,2,86,29.86,Bancomat
17733,2021-06-25 16:07:20,Venerdì,2,87,14.84,Bancomat
17734,2021-06-25 16:15:58,Venerdì,2,88,0.0,Contanti
17735,2021-06-25 16:20:07,Venerdì,2,89,3.98,Contanti
17736,2021-06-25 16:24:03,Venerdì,2,90,20.98,Bancomat
17737,2021-06-25 16:27:16,Venerdì,2,91,63.94,Bancomat
17738,2021-06-25 16:37:54,Venerdì,2,92,33.78,Bancomat
17739,2021-06-25 16:38:13,Venerdì,2,93,3.98,Contanti
17740,2021-06-25 16:48:14,Venerdì,2,94,46.16,Bancomat
17741,2021-06-25 17:01:26,Venerdì,2,95,8.07,Contanti
17742,2021-06-25 17:04:26,Venerdì,2,96,6.38,Contanti
17743,2021-06-25 17:09:43,Venerdì,2,97,14.74,Contanti
17744,2021-06-25 17:13:18,Venerdì,2,98,5.59,Contanti
17745,2021-06-25 17:14:12,Venerdì,2,99,6.98,Bancomat
17746,2021-06-25 17:16:30,Venerdì,2,100,9.99,Contanti
17747,2021-06-25 17:32:49,Venerdì,2,101,15.77,Bancomat
17748,2021-06-25 17:33:06,Venerdì,2,102,1.49,Contanti
17749,2021-06-25 17:34:29,Venerdì,2,103,1.0,Contanti
17750,2021-06-25 17:47:20,Venerdì,2,104,35.0,Contanti
17751,2021-06-25 17:51:33,Venerdì,2,105,2.0,Contanti
17752,2021-06-25 17:51:55,Venerdì,2,106,3.99,Contanti
17753,2021-06-25 17:56:34,Venerdì,2,107,14.48,Contanti
17754,2021-06-25 17:57:57,Venerdì,2,108,11.98,Contanti
17755,2021-06-25 18:03:17,Venerdì,2,109,2.99,Contanti
17756,2021-06-25 18:17:31,Venerdì,2,110,8.38,Contanti
17757,2021-06-25 18:20:33,Venerdì,2,111,6.67,Bancomat
17758,2021-06-25 18:23:27,Venerdì,2,112,38.78,Bancomat
17759,2021-06-25 18:26:17,Venerdì,2,113,23.97,Bancomat
17760,2021-06-25 18:28:51,Venerdì,2,114,29.93,Bancomat
17761,2021-06-25 18:31:18,Venerdì,2,115,1.0,Contanti
17762,2021-06-25 18:35:02,Venerdì,2,116,42.64,Contanti
17763,2021-06-25 18:37:09,Venerdì,2,117,7.68,Contanti
17764,2021-06-25 18:39:50,Venerdì,2,118,4.98,Contanti
17765,2021-06-25 18:45:52,Venerdì,2,119,17.99,Bancomat
17766,2021-06-25 18:52:07,Venerdì,2,120,48.05,Bancomat
17767,2021-06-25 18:54:43,Venerdì,2,121,30.99,Bancomat
17768,2021-06-25 18:57:34,Venerdì,2,122,29.13,Contanti
17769,2021-06-25 18:58:12,Venerdì,2,123,1.19,Contanti
17770,2021-06-25 19:00:10,Venerdì,2,124,24.44,Bancomat
17771,2021-06-25 19:02:12,Venerdì,2,125,15.14,Bancomat
17772,2021-06-25 19:06:54,Venerdì,2,126,11.55,Contanti
17773,2021-06-25 19:11:46,Venerdì,2,127,2.0,Contanti
17774,2021-06-25 19:12:39,Venerdì,2,128,9.8,Contanti
17775,2021-06-25 19:15:41,Venerdì,2,129,1.0,Contanti
17776,2021-06-25 19:24:10,Venerdì,2,130,7.58,Contanti
17777,2021-06-25 19:34:11,Venerdì,2,131,18.44,Bancomat
17778,2021-06-25 19:35:07,Venerdì,2,132,4.48,Contanti
17779,2021-06-25 19:40:17,Venerdì,2,133,63.47,Bancomat
17780,2021-06-25 19:42:19,Venerdì,2,134,14.95,Contanti
17781,2021-06-25 19:59:56,Venerdì,2,135,22.98,Contanti
