,Data,Settimana,CASSA,Numero,Importo,Pagamento
3597,2021-02-28 09:07:51,Domenica,2,1,3.98,Contanti
3598,2021-02-28 09:55:26,Domenica,2,2,4.78,Contanti
3599,2021-02-28 09:56:42,Domenica,2,3,3.18,Bancomat
3600,2021-02-28 10:25:14,Domenica,2,4,1.0,Contanti
3601,2021-02-28 10:27:55,Domenica,2,5,9.85,Contanti
3602,2021-02-28 10:28:29,Domenica,2,6,1.49,Contanti
3603,2021-02-28 10:31:01,Domenica,2,7,5.99,Contanti
3604,2021-02-28 10:35:11,Domenica,2,8,4.65,Contanti
3605,2021-02-28 10:56:35,Domenica,2,9,37.9,Contanti
3606,2021-02-28 11:07:38,Domenica,2,10,45.83,Contanti
3607,2021-02-28 11:09:30,Domenica,2,11,8.16,Contanti
3608,2021-02-28 11:19:02,Domenica,2,12,20.97,Bancomat
3609,2021-02-28 11:20:03,Domenica,2,13,22.26,Bancomat
3610,2021-02-28 11:31:51,Domenica,2,14,18.27,Bancomat
3611,2021-02-28 11:36:37,Domenica,2,15,3.68,Contanti
3612,2021-02-28 11:55:19,Domenica,2,16,10.35,Contanti
3613,2021-02-28 12:05:52,Domenica,2,17,25.24,Bancomat
3614,2021-02-28 12:06:12,Domenica,2,18,2.99,Contanti
3615,2021-02-28 12:10:53,Domenica,2,19,1.99,Contanti
3616,2021-02-28 12:11:54,Domenica,2,20,12.96,Bancomat
3617,2021-02-28 12:13:41,Domenica,2,21,13.07,Bancomat
3618,2021-02-28 12:14:58,Domenica,2,22,9.36,Bancomat
3619,2021-02-28 12:15:35,Domenica,2,23,6.57,Bancomat
3620,2021-02-28 12:18:17,Domenica,2,24,35.53,Bancomat
3621,2021-02-28 12:26:01,Domenica,2,25,37.75,Bancomat
3622,2021-02-28 12:30:06,Domenica,2,26,25.56,Contanti
3623,2021-02-28 12:31:45,Domenica,2,27,3.0,Contanti
3624,2021-02-28 12:32:43,Domenica,2,28,8.48,Bancomat
3625,2021-02-28 12:36:43,Domenica,2,29,11.15,Contanti
3626,2021-02-28 12:55:25,Domenica,2,30,4.49,Contanti
3627,2021-02-28 13:09:09,Domenica,2,31,6.56,Bancomat
3628,2021-02-28 13:28:59,Domenica,2,32,42.16,Bancomat
3629,2021-02-28 13:40:04,Domenica,2,33,1.99,Contanti
3630,2021-02-28 14:09:37,Domenica,2,34,3.19,Contanti
3631,2021-02-28 14:17:30,Domenica,2,35,1.0,Contanti
3632,2021-02-28 14:27:57,Domenica,2,36,10.97,Contanti
3633,2021-02-28 14:31:56,Domenica,2,37,23.62,Bancomat
3634,2021-02-28 14:38:11,Domenica,2,38,13.45,Contanti
3635,2021-02-28 15:02:37,Domenica,2,39,71.75,Bancomat
3636,2021-02-28 15:07:40,Domenica,2,40,10.97,Contanti
3637,2021-02-28 15:14:26,Domenica,2,41,6.08,Contanti
3638,2021-02-28 15:15:09,Domenica,2,42,4.98,Bancomat
3639,2021-02-28 15:21:36,Domenica,2,43,4.05,Contanti
3640,2021-02-28 15:32:19,Domenica,2,44,15.35,Bancomat
3641,2021-02-28 15:38:10,Domenica,2,45,10.58,Contanti
3642,2021-02-28 15:39:50,Domenica,2,46,15.96,Contanti
3643,2021-02-28 15:40:40,Domenica,2,47,12.32,Bancomat
3644,2021-02-28 15:45:45,Domenica,2,48,9.47,Bancomat
3645,2021-02-28 15:53:51,Domenica,2,49,2.49,Contanti
3646,2021-02-28 15:55:57,Domenica,2,50,3.99,Contanti
3647,2021-02-28 16:05:15,Domenica,2,51,0.0,Contanti
3648,2021-02-28 16:11:55,Domenica,2,52,66.23,Contanti
3649,2021-02-28 16:26:32,Domenica,2,53,12.47,Contanti
3650,2021-02-28 16:33:23,Domenica,2,54,7.58,Contanti
3651,2021-02-28 16:37:42,Domenica,2,55,3.49,Contanti
3652,2021-02-28 16:45:22,Domenica,2,56,4.49,Contanti
3653,2021-02-28 16:45:43,Domenica,2,57,2.0,Contanti
3654,2021-02-28 16:55:38,Domenica,2,58,21.65,Contanti
3655,2021-02-28 17:02:50,Domenica,2,59,9.57,Contanti
3656,2021-02-28 17:07:30,Domenica,2,60,34.05,Contanti
3657,2021-02-28 17:07:51,Domenica,2,61,2.0,Contanti
3658,2021-02-28 17:13:25,Domenica,2,62,4.35,Contanti
3659,2021-02-28 17:14:31,Domenica,2,63,3.99,Contanti
3660,2021-02-28 17:16:57,Domenica,2,64,37.74,Contanti
3661,2021-02-28 17:18:53,Domenica,2,65,1.38,Contanti
3662,2021-02-28 17:30:26,Domenica,2,66,7.56,Contanti
3663,2021-02-28 17:30:53,Domenica,2,67,6.08,Contanti
3664,2021-02-28 17:36:09,Domenica,2,68,26.4,Contanti
3665,2021-02-28 17:39:18,Domenica,2,69,10.58,Bancomat
3666,2021-02-28 17:42:15,Domenica,2,70,27.18,Contanti
3667,2021-02-28 17:43:22,Domenica,2,71,1.0,Contanti
3668,2021-02-28 17:46:34,Domenica,2,72,30.7,Contanti
3669,2021-02-28 17:47:13,Domenica,2,73,3.15,Contanti
3670,2021-02-28 17:48:13,Domenica,2,74,8.17,Contanti
3671,2021-02-28 17:48:56,Domenica,2,75,11.75,Contanti
3672,2021-02-28 17:49:37,Domenica,2,76,17.64,Contanti
3673,2021-02-28 17:54:25,Domenica,2,77,13.99,Contanti
3674,2021-02-28 18:00:59,Domenica,2,78,10.65,Contanti
3675,2021-02-28 18:02:50,Domenica,2,79,9.96,Bancomat
3676,2021-02-28 18:03:08,Domenica,2,80,29.99,Contanti
3677,2021-02-28 18:03:58,Domenica,2,81,5.28,Contanti
3678,2021-02-28 18:08:37,Domenica,2,82,44.56,Bancomat
3679,2021-02-28 18:10:23,Domenica,2,83,24.19,Contanti
3680,2021-02-28 18:10:56,Domenica,2,84,6.99,Contanti
3681,2021-02-28 18:12:01,Domenica,2,85,18.25,Bancomat
3682,2021-02-28 18:12:35,Domenica,2,86,13.65,Contanti
3683,2021-02-28 18:13:02,Domenica,2,87,14.35,Contanti
3684,2021-02-28 18:13:35,Domenica,2,88,8.58,Contanti
3685,2021-02-28 18:15:21,Domenica,2,89,13.24,Contanti
3686,2021-02-28 18:16:21,Domenica,2,90,31.43,Bancomat
3687,2021-02-28 18:18:07,Domenica,2,91,34.58,Bancomat
3688,2021-02-28 18:18:58,Domenica,2,92,3.78,Contanti
3689,2021-02-28 18:19:48,Domenica,2,93,9.98,Contanti
3690,2021-02-28 18:21:49,Domenica,2,94,7.95,Contanti
3691,2021-02-28 18:22:29,Domenica,2,95,7.45,Contanti
3692,2021-02-28 18:23:45,Domenica,2,96,25.23,Contanti
3693,2021-02-28 18:28:44,Domenica,2,97,34.28,Bancomat
3694,2021-02-28 18:29:02,Domenica,2,98,8.98,Contanti
3695,2021-02-28 18:29:26,Domenica,2,99,9.75,Contanti
3696,2021-02-28 18:33:49,Domenica,2,100,1.89,Contanti
3697,2021-02-28 18:35:26,Domenica,2,101,15.36,Contanti
3698,2021-02-28 18:36:31,Domenica,2,102,2.98,Contanti
3699,2021-02-28 18:36:59,Domenica,2,103,10.0,Contanti
3700,2021-02-28 18:49:46,Domenica,2,104,22.15,Bancomat
3701,2021-02-28 18:53:56,Domenica,2,105,19.96,Bancomat
3702,2021-02-28 18:54:42,Domenica,2,106,2.29,Contanti
3703,2021-02-28 19:01:59,Domenica,2,107,2.39,Contanti
3704,2021-02-28 19:07:23,Domenica,2,108,4.99,Contanti
3705,2021-02-28 19:08:48,Domenica,2,109,16.44,Bancomat
3706,2021-02-28 19:09:11,Domenica,2,110,4.99,Contanti
3707,2021-02-28 19:10:27,Domenica,2,111,22.04,Contanti
3708,2021-02-28 19:15:24,Domenica,2,112,18.66,Contanti
3709,2021-02-28 19:17:08,Domenica,2,113,12.35,Bancomat
3710,2021-02-28 19:21:28,Domenica,2,114,8.74,Contanti
3711,2021-02-28 19:22:24,Domenica,2,115,5.97,Contanti
3712,2021-02-28 19:31:56,Domenica,2,116,52.41,Bancomat
3713,2021-02-28 19:43:00,Domenica,2,117,9.95,Contanti
3714,2021-02-28 19:48:32,Domenica,2,118,60.42,Contanti
3715,2021-02-28 19:59:57,Domenica,2,119,80.44,Contanti
3716,2021-02-28 20:02:43,Domenica,2,120,26.07,Contanti
