,Data,Settimana,CASSA,Numero,Importo,Pagamento
9867,2021-04-29 09:13:01,Giovedì,2,1,6.99,Bancomat
9868,2021-04-29 09:19:52,Giovedì,2,2,18.49,Contanti
9869,2021-04-29 09:44:27,Giovedì,2,3,5.49,Contanti
9870,2021-04-29 09:50:19,Giovedì,2,4,7.68,Contanti
9871,2021-04-29 09:54:43,Giovedì,2,5,2.99,Contanti
9872,2021-04-29 10:04:10,Giovedì,2,6,2.49,Contanti
9873,2021-04-29 10:04:36,Giovedì,2,7,1.39,Contanti
9874,2021-04-29 10:06:32,Giovedì,2,8,0.79,Contanti
9875,2021-04-29 10:09:31,Giovedì,2,9,20.55,Contanti
9876,2021-04-29 10:18:35,Giovedì,2,10,5.98,Contanti
9877,2021-04-29 10:19:53,Giovedì,2,11,17.54,Contanti
9878,2021-04-29 10:25:06,Giovedì,2,12,2.98,Contanti
9879,2021-04-29 10:33:40,Giovedì,2,13,35.7,Bancomat
9880,2021-04-29 10:34:58,Giovedì,2,14,10.57,Contanti
9881,2021-04-29 10:37:23,Giovedì,2,15,12.75,Contanti
9882,2021-04-29 10:42:16,Giovedì,2,16,19.09,Contanti
9883,2021-04-29 10:43:07,Giovedì,2,17,16.97,Bancomat
9884,2021-04-29 10:47:15,Giovedì,2,18,7.67,Contanti
9885,2021-04-29 10:49:09,Giovedì,2,19,4.08,Contanti
9886,2021-04-29 10:50:50,Giovedì,2,20,15.75,Bancomat
9887,2021-04-29 10:56:27,Giovedì,2,21,17.95,Contanti
9888,2021-04-29 10:59:11,Giovedì,2,22,7.55,Contanti
9889,2021-04-29 11:06:48,Giovedì,2,23,18.34,Bancomat
9890,2021-04-29 11:09:46,Giovedì,2,24,5.19,Contanti
9891,2021-04-29 11:23:25,Giovedì,2,25,7.37,Bancomat
9892,2021-04-29 11:23:52,Giovedì,2,26,2.59,Contanti
9893,2021-04-29 11:25:10,Giovedì,2,27,16.94,Contanti
9894,2021-04-29 11:27:59,Giovedì,2,28,19.13,Contanti
9895,2021-04-29 11:29:52,Giovedì,2,29,23.63,Bancomat
9896,2021-04-29 11:30:30,Giovedì,2,30,1.99,Contanti
9897,2021-04-29 11:33:03,Giovedì,2,31,32.85,Contanti
9898,2021-04-29 11:33:31,Giovedì,2,32,9.99,Contanti
9899,2021-04-29 11:40:35,Giovedì,2,33,3.0,Contanti
9900,2021-04-29 11:46:25,Giovedì,2,34,35.3,Bancomat
9901,2021-04-29 11:47:43,Giovedì,2,35,15.45,Bancomat
9902,2021-04-29 11:50:13,Giovedì,2,36,7.18,Contanti
9903,2021-04-29 12:04:30,Giovedì,2,37,12.95,Contanti
9904,2021-04-29 12:11:14,Giovedì,2,38,9.98,Contanti
9905,2021-04-29 12:13:42,Giovedì,2,39,0.0,Contanti
9906,2021-04-29 12:18:47,Giovedì,2,40,38.84,Bancomat
9907,2021-04-29 12:23:54,Giovedì,2,41,10.34,Contanti
9908,2021-04-29 12:24:39,Giovedì,2,42,8.65,Contanti
9909,2021-04-29 12:35:05,Giovedì,2,43,26.61,Bancomat
9910,2021-04-29 12:38:13,Giovedì,2,44,0.0,Contanti
9911,2021-04-29 12:41:24,Giovedì,2,45,550.0,Contanti
9912,2021-04-29 12:46:32,Giovedì,2,46,1.39,Contanti
9913,2021-04-29 13:05:39,Giovedì,2,47,2.0,Contanti
9914,2021-04-29 13:06:25,Giovedì,2,48,2.99,Bancomat
9915,2021-04-29 13:25:23,Giovedì,2,49,2.59,Contanti
9916,2021-04-29 14:09:43,Giovedì,2,50,5.99,Contanti
9917,2021-04-29 14:15:10,Giovedì,2,51,3.99,Bancomat
9918,2021-04-29 14:31:30,Giovedì,2,52,1.0,Contanti
9919,2021-04-29 14:37:20,Giovedì,2,53,8.85,Contanti
9920,2021-04-29 14:42:20,Giovedì,2,54,5.28,Contanti
9921,2021-04-29 14:45:25,Giovedì,2,55,10.15,Contanti
9922,2021-04-29 14:46:16,Giovedì,2,56,14.48,Contanti
9923,2021-04-29 14:48:04,Giovedì,2,57,1.0,Contanti
9924,2021-04-29 14:51:18,Giovedì,2,58,7.57,Bancomat
9925,2021-04-29 14:52:30,Giovedì,2,59,18.7,Contanti
9926,2021-04-29 14:56:05,Giovedì,2,60,8.99,Bancomat
9927,2021-04-29 15:01:15,Giovedì,2,61,9.58,Bancomat
9928,2021-04-29 15:12:16,Giovedì,2,62,19.99,Contanti
9929,2021-04-29 15:43:26,Giovedì,2,63,22.75,Contanti
9930,2021-04-29 15:44:34,Giovedì,2,64,8.68,Contanti
9931,2021-04-29 15:55:44,Giovedì,2,65,1.89,Contanti
9932,2021-04-29 16:00:58,Giovedì,2,66,19.47,Bancomat
9933,2021-04-29 16:17:16,Giovedì,2,67,19.2,Contanti
9934,2021-04-29 16:17:41,Giovedì,2,68,1.18,Contanti
9935,2021-04-29 16:19:16,Giovedì,2,69,19.02,Contanti
9936,2021-04-29 16:20:39,Giovedì,2,70,18.44,Contanti
9937,2021-04-29 16:23:05,Giovedì,2,71,33.96,Bancomat
9938,2021-04-29 16:24:23,Giovedì,2,72,25.65,Contanti
9939,2021-04-29 16:45:37,Giovedì,2,73,4.99,Contanti
9940,2021-04-29 16:45:58,Giovedì,2,74,19.98,Contanti
9941,2021-04-29 16:51:20,Giovedì,2,75,9.97,Contanti
9942,2021-04-29 16:52:07,Giovedì,2,76,5.1,Contanti
9943,2021-04-29 16:53:55,Giovedì,2,77,29.23,Contanti
9944,2021-04-29 16:57:56,Giovedì,2,78,11.95,Contanti
9945,2021-04-29 16:59:24,Giovedì,2,79,3.69,Contanti
9946,2021-04-29 17:04:02,Giovedì,2,80,43.0,Contanti
9947,2021-04-29 17:04:42,Giovedì,2,81,4.48,Contanti
9948,2021-04-29 17:05:49,Giovedì,2,82,7.32,Bancomat
9949,2021-04-29 17:06:58,Giovedì,2,83,15.95,Bancomat
9950,2021-04-29 17:07:23,Giovedì,2,84,15.99,Contanti
9951,2021-04-29 17:20:39,Giovedì,2,85,2.0,Contanti
9952,2021-04-29 17:22:11,Giovedì,2,86,4.68,Contanti
9953,2021-04-29 17:23:58,Giovedì,2,87,17.85,Contanti
9954,2021-04-29 17:26:11,Giovedì,2,88,10.43,Contanti
9955,2021-04-29 17:28:11,Giovedì,2,89,2.09,Contanti
9956,2021-04-29 17:29:23,Giovedì,2,90,14.95,Contanti
9957,2021-04-29 17:30:28,Giovedì,2,91,16.55,Contanti
9958,2021-04-29 17:39:36,Giovedì,2,92,3.0,Contanti
9959,2021-04-29 17:43:24,Giovedì,2,93,11.78,Contanti
9960,2021-04-29 17:44:10,Giovedì,2,94,10.58,Contanti
9961,2021-04-29 17:45:35,Giovedì,2,95,5.37,Contanti
9962,2021-04-29 17:47:45,Giovedì,2,96,36.62,Bancomat
9963,2021-04-29 17:48:52,Giovedì,2,97,4.28,Bancomat
9964,2021-04-29 17:49:38,Giovedì,2,98,3.39,Contanti
9965,2021-04-29 18:02:20,Giovedì,2,99,5.99,Contanti
9966,2021-04-29 18:03:49,Giovedì,2,100,12.99,Bancomat
9967,2021-04-29 18:04:15,Giovedì,2,101,9.99,Contanti
9968,2021-04-29 18:21:04,Giovedì,2,102,15.17,Contanti
9969,2021-04-29 18:32:01,Giovedì,2,103,67.35,Contanti
9970,2021-04-29 18:39:52,Giovedì,2,104,5.49,Bancomat
9971,2021-04-29 18:46:10,Giovedì,2,105,54.98,Bancomat
9972,2021-04-29 18:50:31,Giovedì,2,106,9.27,Bancomat
9973,2021-04-29 18:54:31,Giovedì,2,107,14.99,Contanti
9974,2021-04-29 19:02:52,Giovedì,2,108,11.99,Contanti
9975,2021-04-29 19:19:48,Giovedì,2,109,20.52,Bancomat
9976,2021-04-29 19:40:08,Giovedì,2,110,4.78,Bancomat
9977,2021-04-29 19:47:06,Giovedì,2,111,3.18,Contanti
