,Data,Settimana,CASSA,Numero,Importo,Pagamento
15729,2021-06-11 09:08:46,Venerdì,2,1,5.96,Bancomat
15730,2021-06-11 09:22:25,Venerdì,2,2,9.28,Contanti
15731,2021-06-11 09:29:17,Venerdì,2,3,1.0,Contanti
15732,2021-06-11 09:37:27,Venerdì,2,4,48.95,Contanti
15733,2021-06-11 09:39:23,Venerdì,2,5,12.45,Contanti
15734,2021-06-11 09:45:33,Venerdì,2,6,67.14,Bancomat
15735,2021-06-11 09:55:42,Venerdì,2,7,8.97,Contanti
15736,2021-06-11 10:02:43,Venerdì,2,8,17.05,Contanti
15737,2021-06-11 10:27:57,Venerdì,2,9,7.0,Contanti
15738,2021-06-11 10:29:02,Venerdì,2,10,10.68,Contanti
15739,2021-06-11 10:30:28,Venerdì,2,11,3.29,Contanti
15740,2021-06-11 10:33:50,Venerdì,2,12,16.0,Bancomat
15741,2021-06-11 10:36:00,Venerdì,2,13,33.57,Contanti
15742,2021-06-11 10:39:41,Venerdì,2,14,17.64,Bancomat
15743,2021-06-11 10:50:01,Venerdì,2,15,39.45,Bancomat
15744,2021-06-11 11:00:01,Venerdì,2,16,63.98,Bancomat
15745,2021-06-11 11:00:50,Venerdì,2,17,29.85,Contanti
15746,2021-06-11 11:01:18,Venerdì,2,18,16.96,Bancomat
15747,2021-06-11 11:01:49,Venerdì,2,19,0.6,Contanti
15748,2021-06-11 11:02:24,Venerdì,2,20,9.48,Bancomat
15749,2021-06-11 11:03:23,Venerdì,2,21,4.95,Contanti
15750,2021-06-11 11:04:32,Venerdì,2,22,5.49,Contanti
15751,2021-06-11 11:05:09,Venerdì,2,23,4.98,Bancomat
15752,2021-06-11 11:08:16,Venerdì,2,24,21.99,Contanti
15753,2021-06-11 11:14:17,Venerdì,2,25,9.75,Bancomat
15754,2021-06-11 11:16:06,Venerdì,2,26,22.67,Contanti
15755,2021-06-11 11:26:48,Venerdì,2,27,20.23,Bancomat
15756,2021-06-11 11:27:19,Venerdì,2,28,2.07,Contanti
15757,2021-06-11 11:30:15,Venerdì,2,29,67.03,Contanti
15758,2021-06-11 11:31:50,Venerdì,2,30,17.97,Contanti
15759,2021-06-11 11:37:21,Venerdì,2,31,78.35,Bancomat
15760,2021-06-11 11:43:28,Venerdì,2,32,18.48,Bancomat
15761,2021-06-11 11:45:29,Venerdì,2,33,5.78,Contanti
15762,2021-06-11 11:46:15,Venerdì,2,34,4.98,Contanti
15763,2021-06-11 11:46:42,Venerdì,2,35,9.75,Contanti
15764,2021-06-11 11:52:33,Venerdì,2,36,5.78,Contanti
15765,2021-06-11 11:55:26,Venerdì,2,37,12.48,Contanti
15766,2021-06-11 11:59:13,Venerdì,2,38,13.24,Bancomat
15767,2021-06-11 12:01:10,Venerdì,2,39,8.48,Bancomat
15768,2021-06-11 12:07:53,Venerdì,2,40,12.98,Bancomat
15769,2021-06-11 12:24:22,Venerdì,2,41,9.46,Contanti
15770,2021-06-11 12:32:17,Venerdì,2,42,30.93,Contanti
15771,2021-06-11 12:33:38,Venerdì,2,43,5.49,Bancomat
15772,2021-06-11 12:40:47,Venerdì,2,44,12.45,Bancomat
15773,2021-06-11 12:43:20,Venerdì,2,45,27.66,Bancomat
15774,2021-06-11 12:44:28,Venerdì,2,46,7.47,Contanti
15775,2021-06-11 12:49:28,Venerdì,2,47,17.67,Bancomat
15776,2021-06-11 12:49:54,Venerdì,2,48,7.98,Contanti
15777,2021-06-11 12:59:48,Venerdì,2,49,8.98,Contanti
15778,2021-06-11 13:14:07,Venerdì,2,50,10.88,Contanti
15779,2021-06-11 13:15:07,Venerdì,2,51,10.05,Contanti
15780,2021-06-11 14:02:47,Venerdì,2,52,14.57,Bancomat
15781,2021-06-11 14:26:39,Venerdì,2,53,4.0,Contanti
15782,2021-06-11 14:31:10,Venerdì,2,54,24.09,Bancomat
